write_ratio ,hot_key_ratio        ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput          ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,episode_duration (s)
     0.5047 ,0.062183057610773966 ,3842.782543468595  ,  10.826900000000485 ,      1.0 ,            0.0 ,    0.0 ,2325.5813953488373  ,                       0.207752 ,             0.154802 ,              0.014095 ,            4.400912
     0.4873 ,0.06251048833696929  ,3875.8007404329733 ,  10.323600000000436 ,      1.0 ,            0.0 ,    0.0 ,2506.265664160401   ,                       0.215521 ,             0.160546 ,              0.015169 ,            4.090858
     0.4879 ,0.06237963660721762  ,3888.4194702495083 ,   9.855000000000437 ,      1.0 ,            0.0 ,    0.0 ,2476.4735017335315  ,                       0.205597 ,             0.156725 ,              0.014127 ,            4.137637
     0.496  ,0.062102177554438864 ,3892.3455079413584 ,  10.295900000000401 ,      1.0 ,            0.0 ,    0.0 ,2504.382669671926   ,                       0.216002 ,             0.155941 ,              0.015583 ,            4.104174
     0.4958 ,0.06251039760439195  ,3890.2997709391498 ,  10.563200000000451 ,      1.0 ,            0.0 ,    0.0 ,2460.6299212598424  ,                       0.204826 ,             0.159397 ,              0.013978 ,            4.186489
     0.501  ,0.06254161118508655  ,3878.2899533674413 ,   9.554200000000424 ,      1.0 ,            0.0 ,    0.0 ,2405.002405002405   ,                       0.204138 ,             0.153346 ,              0.013703 ,            4.285171
     0.4986 ,0.06424883411059294  ,3857.40708952849   ,   9.876200000000457 ,      1.0 ,            0.0 ,    0.0 ,2496.8789013732835  ,                       0.211566 ,             0.159581 ,              0.014254 ,            4.106124
     0.5033 ,0.06518487744079768  ,3955.6038842447906 ,  10.11370000000044  ,      1.0 ,            0.0 ,    0.0 ,2465.483234714004   ,                       0.205118 ,             0.155667 ,              0.014576 ,            4.188725
     0.4964 ,0.0614993328885924   ,3866.9580806276226 ,  10.708000000000464 ,      1.0 ,            0.0 ,    0.0 ,2434.8672997321646  ,                       0.212036 ,             0.156687 ,              0.014231 ,            4.205058
     0.496  ,0.06395930620413609  ,3880.838090270622  ,  11.039800000000032 ,      1.0 ,            0.0 ,    0.0 ,2460.0246002460026  ,                       0.205497 ,             0.155063 ,              0.013831 ,            4.166305
     0.4992 ,0.061890878800499795 ,3894.055218481809  ,  12.022800000000036 ,      1.0 ,            0.0 ,    0.0 ,2461.235540241201   ,                       0.204448 ,             0.154588 ,              0.013826 ,            4.20682
     0.5048 ,0.06362650200267023  ,3884.6718617678366 ,  11.750400000000027 ,      1.0 ,            0.0 ,    0.0 ,2445.5857177794082  ,                       0.215827 ,             0.156444 ,              0.015008 ,            4.22585
     0.4962 ,0.06356038445465942  ,3869.438939092709  ,  11.566500000000405 ,      1.0 ,            0.0 ,    0.0 ,2422.4806201550387  ,                       0.204208 ,             0.153039 ,              0.013663 ,            4.228523
     0.5022 ,0.06353844869332888  ,3887.978022037837  ,  10.798700000000323 ,      1.0 ,            0.0 ,    0.0 ,2375.861249703017   ,                       0.203988 ,             0.153644 ,              0.013541 ,            4.309778
     0.5135 ,0.06110648918469218  ,3970.8208202842234 ,  10.043300000000457 ,      1.0 ,            0.0 ,    0.0 ,2448.5798237022527  ,                       0.204775 ,             0.152113 ,              0.013587 ,            4.184783
     0.5019 ,0.06285523236375794  ,3855.3815536185257 ,   9.833200000000426 ,      1.0 ,            0.0 ,    0.0 ,2486.943546381497   ,                       0.203686 ,             0.152776 ,              0.013597 ,            4.119112
     0.5046 ,0.06192851205320033  ,3920.2080846451327 ,   9.949300000000466 ,      1.0 ,            0.0 ,    0.0 ,2489.4199651481204  ,                       0.210766 ,             0.15652  ,              0.016988 ,            4.133733
     0.5085 ,0.06332332833083208  ,3996.2052035387196 ,  10.024400000000519 ,      1.0 ,            0.0 ,    0.0 ,2434.8672997321646  ,                       0.210657 ,             0.155272 ,              0.013601 ,            4.208132
     0.4995 ,0.06250784486004769  ,3917.8858147850824 ,   9.833100000000446 ,      1.0 ,            0.0 ,    0.0 ,2417.79497098646    ,                       0.221551 ,             0.153746 ,              0.017801 ,            4.245526
     0.5028 ,0.06284380730121687  ,3849.1458168060635 ,  10.127600000000413 ,      1.0 ,            0.0 ,    0.0 ,2333.177788147457   ,                       0.213928 ,             0.154407 ,              0.013977 ,            4.42646
     0.501  ,0.06238555019144332  ,3908.262144338374  ,  10.101300000000448 ,      1.0 ,            0.0 ,    0.0 ,2160.7605877268797  ,                       0.205391 ,             0.154642 ,              0.013858 ,            4.728649
     0.5025 ,0.06270875083500334  ,3858.295605632803  ,  10.244100000000465 ,      1.0 ,            0.0 ,    0.0 ,2437.241043139167   ,                       0.205684 ,             0.153647 ,              0.016746 ,            4.202801
     0.4839 ,0.06127677446451071  ,3920.022140285048  ,  10.02470000000047  ,      1.0 ,            0.0 ,    0.0 ,2387.2045834328005  ,                       0.210028 ,             0.155294 ,              0.013777 ,            4.288787
     0.4983 ,0.06272863318922514  ,3928.380902097677  ,   9.732100000000296 ,      1.0 ,            0.0 ,    0.0 ,2443.7927663734117  ,                       0.204613 ,             0.152549 ,              0.013604 ,            4.19212
