write_ratio         ,hot_key_ratio        ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput          ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,episode_duration (s)
0.1964              ,0.05494709485799146  ,3060.426905069842  ,  1080.9812999999901 ,     20.0 ,            1.0 ,    1.0 ,2063.9269406392696  ,                       0.125242 ,             0.151569 ,              0.014662 ,            3.30137
0.1986              ,0.05462029414485246  ,3070.612731558744  ,  1081.5006999999948 ,     20.0 ,            1.0 ,    1.0 ,2121.6092654678455  ,                       0.124893 ,             0.153536 ,              0.014232 ,            3.299934
0.2005              ,0.055101282289537264 ,3053.458423346743  ,  1080.4491999999882 ,     30.0 ,            1.0 ,    1.0 ,2108.1907090464547  ,                       0.124832 ,             0.151343 ,              0.014151 ,            3.316882
0.19519519519519518 ,0.055674319174644486 ,3059.9708337915117 ,  1080.1851851851711 ,     20.0 ,            1.0 ,    1.0 ,2294.851794071763   ,                       0.123346 ,             0.152896 ,              0.014234 ,            3.253103
0.1964              ,0.05433976261127597  ,3125.696444238982  ,  1081.9008999999894 ,     20.0 ,            1.0 ,    1.0 ,2344.7204968944097  ,                       0.125113 ,             0.152574 ,              0.014193 ,            3.222389
0.2043              ,0.05603967738945027  ,3112.5120181870307 ,  1082.785699999982  ,     20.0 ,            1.0 ,    1.0 ,2328.571428571429   ,                       0.141125 ,             0.158066 ,              0.016125 ,            3.243016
0.2049              ,0.05679933665008292  ,3118.713842411389  ,  1083.8851999999845 ,     20.0 ,            1.0 ,    1.0 ,2287.3738917762153  ,                       0.125323 ,             0.163583 ,              0.014121 ,            3.272069
0.201               ,0.055766382821177345 ,3066.4678368921227 ,  1083.406499999988  ,     20.0 ,            1.0 ,    1.0 ,2328.8985148514853  ,                       0.125567 ,             0.153711 ,              0.014176 ,            3.233705
0.2009              ,0.05530296000742321  ,3101.7485176743835 ,  1084.1797999999924 ,     10.0 ,            1.0 ,    1.0 ,2314.250913520097   ,                       0.140289 ,             0.156732 ,              0.015731 ,            3.284105
0.1984              ,0.05402527660756447  ,3113.846590742783  ,  1083.716699999986  ,     20.0 ,            1.0 ,    1.0 ,2140.7230355542274  ,                       0.131077 ,             0.153276 ,              0.014652 ,            3.349283
0.1927              ,0.05551926845199216  ,2992.077875409279  ,  1084.2346999999895 ,     20.0 ,            1.0 ,    1.0 ,2251.966122202057   ,                       0.127049 ,             0.169643 ,              0.014248 ,            3.312818
0.2075              ,0.05562217507609999  ,3030.002784572559  ,  1084.3639999999873 ,     20.0 ,            1.0 ,    1.0 ,2185.340943226194   ,                       0.126039 ,             0.152437 ,              0.014359 ,            3.330719
0.2003              ,0.05493542435424354  ,3011.8413554731783 ,  1083.7643999999862 ,     20.0 ,            1.0 ,    1.0 ,2218.54103343465    ,                       0.133502 ,             0.158899 ,              0.014296 ,            3.331139
0.2035              ,0.05414661236579045  ,3048.5862333772025 ,  1083.8119999999797 ,     20.0 ,            1.0 ,    1.0 ,2131.3912009512483  ,                       0.12394  ,             0.153999 ,              0.013826 ,            3.36435
0.2036              ,0.05562223042836041  ,3004.0530683998854 ,  1083.6830999999845 ,     20.0 ,            1.0 ,    1.0 ,2200.3665241295053  ,                       0.133597 ,             0.177539 ,              0.014243 ,            3.310982
