write_ratio         ,hot_key_ratio        ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput          ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,communication_overhead (s) ,episode_duration (s)
0.19437408345553925 ,0.055279503105590065 ,  5081.992401013193  ,     10.0 ,            1.0 ,    0.0 ,1899.4599085999168  ,                       0.115295 ,             0.161517 ,              0.014892 ,                  0.117517 ,            2.82739
0.19027962716378163 ,0.054444996275142786 ,  5080.160452729686  ,     10.0 ,            1.0 ,    0.0 ,1919.3214729002896  ,                       0.106122 ,             0.159199 ,              0.014054 ,                  0.175273 ,            2.764393
0.20505992010652463 ,0.05507068223724647  ,  5080.162982689765  ,     10.0 ,            1.0 ,    0.0 ,1897.1962616822432  ,                       0.108221 ,             0.160868 ,              0.014478 ,                  0.15341  ,            2.889797
0.19445178335535007 ,0.055392156862745096 ,  5081.564068692192  ,     10.0 ,            1.0 ,    0.0 ,1935.006170300288   ,                       0.107722 ,             0.159084 ,              0.014038 ,                  0.208372 ,            2.724078
0.1978695073235686  ,0.055719738948405366 ,  5082.108255659141  ,     10.0 ,            1.0 ,    0.0 ,1810.2687525070196  ,                       0.104891 ,             0.158597 ,              0.013952 ,                  0.08123  ,            2.894791
0.19299867899603698 ,0.05574635103642831  ,  5082.5581241743785 ,     10.0 ,            1.0 ,    0.0 ,1922.2903885480573  ,                       0.104278 ,             0.165674 ,              0.014623 ,                  0.112191 ,            2.824452
0.1948069241011984  ,0.05765665554319614  ,  5082.960985352865  ,     10.0 ,            1.0 ,    0.0 ,1801.3300083125519  ,                       0.110121 ,             0.159435 ,              0.014142 ,                  0.138685 ,            2.764821
0.20093209054593875 ,0.05646350454657164  ,  5084.490812250362  ,     10.0 ,            1.0 ,    0.0 ,1915.976821192053   ,                       0.104775 ,             0.158202 ,              0.014149 ,                  0.168672 ,            2.787365
0.2                 ,0.05841437892404284  ,  5082.938215712379  ,     10.0 ,            1.0 ,    0.0 ,1946.8659194686593  ,                       0.105305 ,             0.159267 ,              0.014073 ,                  0.179292 ,            2.801836
0.20173102529960052 ,0.05571013791434793  ,  5082.935552596542  ,      1.0 ,            1.0 ,    0.0 , 251.2676056338028  ,                       0.107901 ,             0.163719 ,              0.014355 ,                  0.151367 ,            3.869434
0.19606278265496144 ,0.05521889685876824  ,  5079.480313913289  ,     10.0 ,            1.0 ,    0.0 ,1685.0140618722378  ,                       0.149329 ,             0.159029 ,              0.014157 ,                  0.171574 ,            3.167674
0.19810691907745634 ,0.05883083033387117  ,  5080.422477003085  ,     10.0 ,            1.0 ,    0.0 ,1809.2698933552092  ,                       0.112721 ,             0.161448 ,              0.01447  ,                  0.139647 ,            2.824986
0.21211717709720374 ,0.05717954990215264  ,  5081.937549933451  ,     10.0 ,            1.0 ,    0.0 ,1770.264765784114   ,                       0.10712  ,             0.162452 ,              0.014041 ,                  0.088135 ,            2.849715
0.20318302387267906 ,0.05692307692307692  ,  5081.527357237741  ,     10.0 ,            1.0 ,    0.0 ,1822.5612203934163  ,                       0.107751 ,             0.163623 ,              0.014347 ,                  0.206515 ,            2.811987
0.20172642762284196 ,0.056609584821978566 ,  5081.555776892472  ,     10.0 ,            1.0 ,    0.0 ,1787.815996684625   ,                       0.105345 ,             0.161288 ,              0.014219 ,                  0.140159 ,            2.764151
0.20212483399734396 ,0.05765444253015013  ,  5080.258034528574  ,     10.0 ,            1.0 ,    0.0 ,1810.843864655524   ,                       0.108365 ,             0.160208 ,              0.014204 ,                  0.144625 ,            2.86501
0.19906790945406125 ,0.05442554240631164  ,  5082.205858854871  ,     10.0 ,            1.0 ,    0.0 ,1905.5915721231765  ,                       0.108659 ,             0.161248 ,              0.014123 ,                  0.14735  ,            2.792875
0.19654714475431606 ,0.05797277588721439  ,  5083.765744400548  ,     10.0 ,            1.0 ,    0.0 ,1791.683488090432   ,                       0.105052 ,             0.159349 ,              0.014094 ,                  0.165673 ,            2.819135
0.20173102529960052 ,0.056762092793682134 ,  5083.718508655134  ,     10.0 ,            1.0 ,    0.0 ,1869.92203528929    ,                       0.105548 ,             0.160616 ,              0.014035 ,                  0.076782 ,            2.913424
0.19254327563249002 ,0.05735567970204842  ,  5082.852729693757  ,     10.0 ,            1.0 ,    0.0 ,1859.7002497918402  ,                       0.105446 ,             0.159759 ,              0.014077 ,                  0.083733 ,            2.835262
0.2002659574468085  ,0.056977602756583805 ,  5085.662632978718  ,     10.0 ,            1.0 ,    0.0 ,1725.5456750202102  ,                       0.104357 ,             0.159688 ,              0.014072 ,                  0.11937  ,            2.865675
0.20637450199203186 ,0.05633198479833272  ,  5081.637583001356  ,     10.0 ,            1.0 ,    0.0 ,1758.7736990722065  ,                       0.10534  ,             0.159815 ,              0.014668 ,                  0.178544 ,            2.878359
0.19814077025232404 ,0.054268818529013184 ,  5081.846684350165  ,     10.0 ,            1.0 ,    0.0 ,1803.9532069382815  ,                       0.113264 ,             0.164697 ,              0.014386 ,                  0.108389 ,            2.855509
0.1970705725699068  ,0.0554730064388311   ,  5083.494141145138  ,     10.0 ,            1.0 ,    0.0 ,1872.8230052652896  ,                       0.108021 ,             0.160345 ,              0.014387 ,                  0.123417 ,            2.860237
0.1941411451398136  ,0.056666666666666664 ,  5082.508921438095  ,     10.0 ,            1.0 ,    0.0 ,1870.0404858299596  ,                       0.106841 ,             0.15899  ,              0.013971 ,                  0.13397  ,            2.879679
0.19986684420772305 ,0.05619916194232191  ,  5082.972703062614  ,     10.0 ,            1.0 ,    0.0 ,1711.50019896538    ,                       0.105084 ,             0.165913 ,              0.014602 ,                  0.059924 ,            2.947442
0.20452729693741678 ,0.05625307730182176  ,  5083.644607190427  ,     10.0 ,            1.0 ,    0.0 ,1826.2096774193549  ,                       0.113121 ,             0.172875 ,              0.014261 ,                  0.135333 ,            2.807518
0.20545212765957446 ,0.054299754299754296 ,  5080.058776595781  ,     10.0 ,            1.0 ,    0.0 ,1894.9335548172758  ,                       0.113047 ,             0.171111 ,              0.015651 ,                  0.117374 ,            2.805084
0.1985352862849534  ,0.05538423584556556  ,  5083.34367509989   ,     10.0 ,            1.0 ,    0.0 ,1657.8007145692734  ,                       0.105998 ,             0.159645 ,              0.014239 ,                  0.114818 ,            2.916419
0.200398406374502   ,0.055350553505535055 ,  5084.153917662709  ,     10.0 ,            1.0 ,    0.0 ,1820.607553366174   ,                       0.10523  ,             0.159333 ,              0.014183 ,                  0.163653 ,            2.788643
0.1970744680851064  ,0.056991629739044807 ,  5084.666888297889  ,     10.0 ,            1.0 ,    0.0 ,1700.205338809035   ,                       0.105411 ,             0.162777 ,              0.01492  ,                  0.0965   ,            2.849737
0.20346205059920106 ,0.05495317890586496  ,  5081.797869507339  ,     10.0 ,            1.0 ,    0.0 ,1947.4353539635438  ,                       0.109392 ,             0.161963 ,              0.014532 ,                  0.171339 ,            2.751348
0.19560585885486018 ,0.05497025285076847  ,  5084.455925432751  ,     10.0 ,            1.0 ,    0.0 ,1809.640522875817   ,                       0.110896 ,             0.169327 ,              0.01443  ,                  0.109721 ,            2.796078
0.2140770252324037  ,0.05552154750244858  ,  5084.006507304117  ,     10.0 ,            1.0 ,    0.0 ,1813.943894389439   ,                       0.111006 ,             0.161954 ,              0.014413 ,                  0.239124 ,            2.728335
0.20359520639147802 ,0.055281342546890426 ,  5084.369507323596  ,     10.0 ,            1.0 ,    0.0 ,1841.4332784184514  ,                       0.105526 ,             0.174599 ,              0.014692 ,                  0.133631 ,            2.855664
0.20119840213049267 ,0.05456116528823602  ,  5084.39693741679   ,     10.0 ,            1.0 ,    0.0 ,1946.4210966931769  ,                       0.104812 ,             0.162568 ,              0.014006 ,                  0.149179 ,            2.802092
0.19360852197070572 ,0.056355358680940076 ,  5084.4225033288885 ,     10.0 ,            1.0 ,    0.0 ,1933.724832214765   ,                       0.104962 ,             0.158999 ,              0.014435 ,                  0.151541 ,            2.754863
0.19280958721704394 ,0.055075327241294145 ,  5085.708255659101  ,     10.0 ,            1.0 ,    0.0 ,1810.3168155970754  ,                       0.106131 ,             0.162372 ,              0.014386 ,                  0.085393 ,            2.918907
0.20559254327563248 ,0.0553774050320671   ,  5081.140213049262  ,     10.0 ,            1.0 ,    1.0 ,1951.1609287429942  ,                       0.104922 ,             0.1595   ,              0.014183 ,                  0.145439 ,            2.813096
0.20452127659574468 ,0.05472038484666266  ,  5080.907190412788  ,     10.0 ,            1.0 ,    1.0 ,1873.336022589754   ,                       0.10534  ,             0.159341 ,              0.014179 ,                  0.152605 ,            2.857402
0.19547270306258321 ,0.05653142008906482  ,  5082.891078561901  ,     10.0 ,            1.0 ,    0.0 ,1768.3956574185765  ,                       0.108837 ,             0.16406  ,              0.014512 ,                  0.064705 ,            2.937525
0.2033288948069241  ,0.05601226993865031  ,  5081.77696404795   ,     10.0 ,            1.0 ,    0.0 ,1861.4309210526317  ,                       0.1113   ,             0.160988 ,              0.01376  ,                  0.163284 ,            2.812766
0.19560585885486018 ,0.05734058329214039  ,  5081.099999999996  ,     10.0 ,            1.0 ,    0.0 ,1785.1882160392797  ,                       0.105094 ,             0.158842 ,              0.013807 ,                  0.161257 ,            2.810495
0.19720372836218375 ,0.0567550894509562   ,  5080.200399467378  ,     10.0 ,            1.0 ,    0.0 ,1864.061864061864   ,                       0.104662 ,             0.15871  ,              0.013862 ,                  0.126101 ,            2.890398
0.20239680426098536 ,0.055144337527757215 ,  5079.389081225088  ,     10.0 ,            1.0 ,    1.0 ,1868.7274187073465  ,                       0.106401 ,             0.160412 ,              0.01369  ,                  0.071345 ,            2.936887
0.2018641810918775  ,0.05537720706260032  ,  5081.105059920122  ,     10.0 ,            1.0 ,    1.0 ,2055.034651447207   ,                       0.10393  ,             0.159636 ,              0.014415 ,                  0.112773 ,            2.916609
