write_ratio         ,hot_key_ratio        ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput         ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,episode_duration (s) ,optimal_action_predicted
0.5025              ,0.06340609898350275  ,3642.7072454539925 ,  12.805900000000362 ,     30.0 ,            1.0 ,    0.0 ,403.28923846978904 ,                       0.132036 ,             0.175738 ,              0.014085 ,            2.888725 ,      199.82591571344906
0.5055055055055055  ,0.06460206460206461  ,3663.203796237864  ,  12.925325325325572 ,     30.0 ,            1.0 ,    0.0 ,398.84183858125226 ,                       0.133689 ,             0.197957 ,              0.01494  ,            2.863556 ,      307.51280829070924
0.5005005005005005  ,0.06218026036684274  ,3718.0449113028567 ,  13.36866866866895  ,     20.0 ,            1.0 ,    0.0 ,411.84919210053863 ,                       0.133849 ,             0.178469 ,              0.014355 ,            2.935546 ,      257.86298569772936
0.5037              ,0.06253112033195021  ,3636.8489903925356 ,  13.701200000000162 ,     30.0 ,            1.0 ,    0.0 ,407.51240255138197 ,                       0.13766  ,             0.18094  ,              0.014544 ,            2.919148 ,      257.8628844173986
0.5049049049049049  ,0.06055291071577717  ,3678.575702620847  ,  13.248648648648905 ,     20.0 ,            1.0 ,    0.0 ,414.96837666900916 ,                       0.131883 ,             0.191926 ,              0.014118 ,            2.987866 ,      265.5899324376628
0.5033              ,0.061859107961650686 ,3640.1507168002786 ,  12.470200000000267 ,     30.0 ,            1.0 ,    0.0 ,391.48936170212767 ,                       0.138355 ,             0.177428 ,              0.014841 ,            2.895411 ,      211.70169386724115
0.4898898898898899  ,0.06374569001766041  ,3700.2836884161115 ,  13.843143143143276 ,     50.0 ,            1.0 ,    0.0 ,405.92271578187075 ,                       0.13252  ,             0.173605 ,              0.014099 ,            2.906345 ,      202.07005286667928
0.5034              ,0.06114988368228647  ,3743.246247957123  ,  13.767200000000189 ,     20.0 ,            1.0 ,    0.0 ,408.9943342776204  ,                       0.132044 ,             0.175179 ,              0.014148 ,            2.941679 ,      221.27309311213023
0.4886              ,0.06265050236651996  ,3652.918663747741  ,  13.334300000000328 ,     50.0 ,            1.0 ,    0.0 ,424.8628884826325  ,                       0.134391 ,             0.171772 ,              0.014099 ,            2.876549 ,      224.95507004086446
0.4918              ,0.06054017894472782  ,3706.50279970689   ,  13.804600000000125 ,     20.0 ,            1.0 ,    0.0 ,399.2248062015504  ,                       0.130291 ,             0.173795 ,              0.014302 ,            2.938928 ,      201.71070521020062
0.4939              ,0.06265211917750735  ,3590.130587409986  ,  13.148400000000233 ,     30.0 ,            1.0 ,    0.0 ,410.3531025025711  ,                       0.134471 ,             0.170783 ,              0.014087 ,            3.02412  ,      335.451152811524
0.5051051051051051  ,0.06269227571297913  ,3517.3517404553545 ,  12.212112112112395 ,     20.0 ,            1.0 ,    0.0 ,417.4358974358974  ,                       0.132418 ,             0.176677 ,              0.014181 ,            3.028235 ,      243.89335986825293
0.5045              ,0.06335871544446284  ,3538.8471639148    ,  11.378000000000373 ,     50.0 ,            1.0 ,    0.0 ,399.03680770553837 ,                       0.136454 ,             0.176378 ,              0.014363 ,            3.008648 ,      241.999151975719
